id,business_name,activities,sub_groups,categories,rating,review_count,price,price_value,image_url,url,phone,distance,latitude,longitude,location,postcode,address
0,Lot Twenty,Friendly Small Bar,Australian,Australian,4.2,85,$$,2,https://s3-media1.fl.yelpcdn.com/bphoto/t-Crn8ZW9FzzrBF8ErN9eg/o.jpg,https://www.yelp.com/biz/lot-twenty-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,+61 8 6162 1195,46.38,-31.949332,115.859543,Perth,6000,"206/198-206 William St, Perth, 6000"
1,Angel Falls Grill,Steakhouse,Venezuelan,Other,4.3,35,$$,2,https://s3-media1.fl.yelpcdn.com/bphoto/_NCdZwgyp010CdQYUyLE1A/o.jpg,https://www.yelp.com/biz/angel-falls-grill-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,+61 8 9481 6222,629.51,-31.95189011,115.8536204,Perth,6000,"Shop 16, Shafto Lane, Perth, 6000"
3,The Standard,"Tapas/Small Plates, Wine Bar, Venues & Event Spaces",Australian,Australian,4.4,75,$$,2,https://s3-media2.fl.yelpcdn.com/bphoto/Rk8goQgqvvjYo2z5fr1VuQ/o.jpg,https://www.yelp.com/biz/the-standard-northbridge-2?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,+61 8 9228 1331,148.76,-31.94929,115.85788,Northbridge,6003,"28 Roe St, Northbridge, 6003"
4,Hao Szechuan,Szechuan,Chinese,Chinese,5,1,$$,2,https://s3-media2.fl.yelpcdn.com/bphoto/FQklmYMgvo7femdcIErwTA/o.jpg,https://www.yelp.com/biz/hao-szechuan-northbridge?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,+61 8 9228 0636,213.25,-31.9472221,115.8583645,Northbridge,6003,"74 Francis St, Northbridge, 6003"
5,Dragon Palace,"Chinese, Seafood",Chinese,Chinese,3.7,26,$$,2,https://s3-media2.fl.yelpcdn.com/bphoto/jEGTKgh6W69m9G_NM0B4mQ/o.jpg,https://www.yelp.com/biz/dragon-palace-northbridge?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,+61 8 9228 2888,188.37,-31.947367,115.858639,Northbridge,6003,"66 Francis St, Northbridge, 6003"
6,Petition,"Wine Bar, Beer Bar",Australia,Australian,4.1,104,$$,2,https://s3-media1.fl.yelpcdn.com/bphoto/e4M41gOtAb6qmtdSzMwv_g/o.jpg,https://www.yelp.com/biz/petition-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,+61 8 6168 7771,728.28,-31.95545879,115.8602601,Perth,6000,"Barrack St, Perth, 6000"
7,No Mafia,"Tapas/Small Plates, Wine Bar",Italian,Italian/Pizza,4.4,33,$$,2,https://s3-media2.fl.yelpcdn.com/bphoto/UTx496x8rcnJXcgeT-vPgg/o.jpg,https://www.yelp.com/biz/no-mafia-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,+61 8 6162 6405,65.67,-31.94945624,115.8589551,Perth,6000,"189 William St, Northbridge, Perth, 6000"
9,Little Willy's,"Restaurant, Coffee & Tea",Australian,Australian,4,36,$,1,https://s3-media4.fl.yelpcdn.com/bphoto/r2z7lMFVsWEx1Fb_LH_Lcw/o.jpg,https://www.yelp.com/biz/little-willys-northbridge?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,+61 8 9228 8240,174.27,-31.947542,115.860121,Northbridge,6003,"267 William St, Northbridge, 6003"
10,Friends Restaurant,Venues & Event Spaces,Australian,Australian,4.6,13,$$$,3,https://s3-media2.fl.yelpcdn.com/bphoto/BOUKxo2uU9irT8jJCovqHQ/o.jpg,https://www.yelp.com/biz/friends-restaurant-perth-2?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,+61 8 9221 0885,726.19,-31.953,115.85328,Perth,6000,"200 St Georges Tce, Perth, 6000"
11,Wildflower Perth,Modern Australian,Australian,Australian,4.5,24,$$$$,4,https://s3-media3.fl.yelpcdn.com/bphoto/b-0vDF1A1dn9eZc2PxnW3A/o.jpg,https://www.yelp.com/biz/wildflower-perth-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,+61 8 6168 7855,730.49,-31.955393,115.8608808,Perth,6000,"COMO Treasury, 1 Cathedral Square, Perth, 6000"
