id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
5ErYddAotaR4swc37qc87g,lot-twenty-perth,Lot Twenty,https://s3-media1.fl.yelpcdn.com/bphoto/t-Crn8ZW9FzzrBF8ErN9eg/o.jpg,False,https://www.yelp.com/biz/lot-twenty-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,85,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'restaurants', 'title': 'Restaurants'}]",4.2,[],$$,+61861621195,+61 8 6162 1195,46.382139448290914,-31.949332,115.859543,206/198-206 William St,,,Perth,6000,AU,WA,"['206/198-206 William St', 'Perth Western Australia 6000', 'Australia']"
30UX2wFjo_jK82LQVbW1-g,angel-falls-grill-perth,Angel Falls Grill,https://s3-media1.fl.yelpcdn.com/bphoto/_NCdZwgyp010CdQYUyLE1A/o.jpg,False,https://www.yelp.com/biz/angel-falls-grill-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,35,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",4.3,[],$$,+61894816222,+61 8 9481 6222,629.5097910506827,-31.9518901130844,115.853620398056,Shop 16,Shafto Lane,,Perth,6000,AU,WA,"['Shop 16', 'Shafto Lane', 'Perth Western Australia 6000', 'Australia']"
cKutCnn0zwh2ckB91qXffw,santini-bar-and-grill-perth,Santini Bar & Grill,https://s3-media1.fl.yelpcdn.com/bphoto/gYQYcnLk1iLvxnCGk0ebuQ/o.jpg,False,https://www.yelp.com/biz/santini-bar-and-grill-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,8,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'italian', 'title': 'Italian'}]",4.9,[],,+61892258000,+61 8 9225 8000,568.4535390679749,-31.95387,115.861,133 Murray Street,,QT Hotel,Perth,6000,AU,WA,"['133 Murray Street', 'QT Hotel', 'Perth Western Australia 6000', 'Australia']"
dhRlSOvJKRixjchNBlxUQw,the-standard-northbridge-2,The Standard,https://s3-media2.fl.yelpcdn.com/bphoto/Rk8goQgqvvjYo2z5fr1VuQ/o.jpg,False,https://www.yelp.com/biz/the-standard-northbridge-2?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,75,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.4,[],$$,+61892281331,+61 8 9228 1331,148.76036667131126,-31.94929,115.85788,28 Roe St,,,Northbridge,6003,AU,WA,"['28 Roe St', 'Northbridge Western Australia 6003', 'Australia']"
58s8W4qQdhQv7RtlSb9cvA,hao-szechuan-northbridge,Hao Szechuan,https://s3-media2.fl.yelpcdn.com/bphoto/FQklmYMgvo7femdcIErwTA/o.jpg,False,https://www.yelp.com/biz/hao-szechuan-northbridge?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,1,"[{'alias': 'szechuan', 'title': 'Szechuan'}]",5.0,[],$$,+61892280636,+61 8 9228 0636,213.24996584668062,-31.9472220969551,115.858364457102,74 Francis St,,,Northbridge,6003,AU,WA,"['74 Francis St', 'Northbridge Western Australia 6003', 'Australia']"
rZTS-KBzabeLTNErL66QqA,dragon-palace-northbridge,Dragon Palace,https://s3-media2.fl.yelpcdn.com/bphoto/jEGTKgh6W69m9G_NM0B4mQ/o.jpg,False,https://www.yelp.com/biz/dragon-palace-northbridge?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,26,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'seafood', 'title': 'Seafood'}]",3.7,[],$$,+61892282888,+61 8 9228 2888,188.36774092829714,-31.947367,115.858639,66 Francis St,,,Northbridge,6003,AU,WA,"['66 Francis St', 'Northbridge Western Australia 6003', 'Australia']"
9GXasxXHIPb3hhxAYZgOMg,petition-perth,Petition,https://s3-media1.fl.yelpcdn.com/bphoto/e4M41gOtAb6qmtdSzMwv_g/o.jpg,False,https://www.yelp.com/biz/petition-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,104,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'australian', 'title': 'Australian'}]",4.1,[],$$,+61861687771,+61 8 6168 7771,728.2836961800642,-31.9554587940296,115.860260067459,Barrack St,,,Perth,6000,AU,WA,"['Barrack St', 'Perth Western Australia 6000', 'Australia']"
3INeVrY2M11gYoGtS5AZJg,no-mafia-perth,No Mafia,https://s3-media2.fl.yelpcdn.com/bphoto/UTx496x8rcnJXcgeT-vPgg/o.jpg,False,https://www.yelp.com/biz/no-mafia-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,33,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.4,[],$$,+61861626405,+61 8 6162 6405,65.67393712745543,-31.9494562436066,115.858955090888,189 William St,Northbridge,,Perth,6000,AU,WA,"['189 William St', 'Northbridge', 'Perth Western Australia 6000', 'Australia']"
1doV5tlK-YOBB7kPXerMkw,simple-perth,Simple,https://s3-media2.fl.yelpcdn.com/bphoto/cWSB-2EOL3VDyTHHSz2NNg/o.jpg,False,https://www.yelp.com/biz/simple-perth?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,3,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.7,[],,+61894817999,+61 8 9481 7999,606.5789965702626,-31.9512325591292,115.853484251068,413 Murray St,,,Perth,6000,AU,WA,"['413 Murray St', 'Perth Western Australia 6000', 'Australia']"
O4eBjHmuXdAEkk7NsSoyDw,little-willys-northbridge,Little Willy's,https://s3-media4.fl.yelpcdn.com/bphoto/r2z7lMFVsWEx1Fb_LH_Lcw/o.jpg,False,https://www.yelp.com/biz/little-willys-northbridge?adjust_creative=UAtb9qeUkheG0Rajqd6ggA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAtb9qeUkheG0Rajqd6ggA,36,"[{'alias': 'restaurants', 'title': 'Restaurants'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,[],$,+61892288240,+61 8 9228 8240,174.26914612094018,-31.947542,115.860121,267 William St,,,Northbridge,6003,AU,WA,"['267 William St', 'Northbridge Western Australia 6003', 'Australia']"
